,userid,age,dob_day,dob_year,dob_month,gender,tenure,friend_count,friendships_initiated,likes,likes_received,mobile_likes,mobile_likes_received,www_likes,www_likes_received,ratio
13391,1981169,68,2,1945,7,female,1920.0,13,6,35,47,0,20,35,27,0.46153846153846156
13393,2155856,39,20,1974,5,female,99.0,13,13,35,35,20,12,15,23,1.0
13394,1469368,47,1,1966,11,female,89.0,14,4,36,18,36,14,0,4,0.2857142857142857
13395,1085720,22,10,1991,5,female,506.0,13,3,36,29,36,11,0,18,0.23076923076923078
13396,1765178,37,6,1976,3,female,383.0,14,7,36,28,36,12,0,16,0.5
13401,1584000,33,18,1980,1,female,198.0,14,10,38,20,22,7,16,13,0.7142857142857143
13403,1271686,55,24,1958,8,female,868.0,13,11,39,20,39,7,0,13,0.8461538461538461
13404,1208046,89,24,1924,2,female,1493.0,13,9,38,12,38,9,0,3,0.6923076923076923
13405,1215196,76,27,1937,10,female,227.0,14,12,40,4,0,0,40,4,0.8571428571428571
13411,1973047,22,5,1991,12,female,229.0,14,10,41,38,22,9,19,29,0.7142857142857143
13412,1980006,26,7,1987,6,female,111.0,14,9,42,1,42,1,0,0,0.6428571428571429
13414,1051040,30,17,1983,11,female,443.0,13,9,41,1,41,1,0,0,0.6923076923076923
13415,1628058,36,25,1977,7,female,538.0,13,5,42,18,42,16,0,2,0.38461538461538464
13416,1339152,49,18,1964,10,female,249.0,14,11,42,37,42,36,0,1,0.7857142857142857
13417,1498909,17,10,1996,12,female,443.0,14,10,44,30,44,26,0,4,0.7142857142857143
13418,2184113,25,11,1988,4,female,512.0,14,10,43,101,43,73,0,28,0.7142857142857143
13419,1951968,52,17,1961,12,female,8.0,14,13,45,15,0,1,45,14,0.9285714285714286
13420,1721351,41,12,1972,5,female,70.0,13,12,45,5,45,3,0,2,0.9230769230769231
13422,1158243,42,29,1971,9,female,377.0,13,9,46,5,46,5,0,0,0.6923076923076923
13425,1373901,19,14,1994,2,female,391.0,13,7,49,5,49,4,0,1,0.5384615384615384
13429,2173135,30,21,1983,4,female,254.0,14,11,48,33,48,27,0,6,0.7857142857142857
13430,1497726,41,6,1972,3,female,4.0,13,13,48,37,48,18,0,19,1.0
13431,1081940,36,20,1977,6,female,572.0,14,12,51,23,0,10,51,13,0.8571428571428571
13434,2048649,38,26,1975,8,female,33.0,14,12,51,17,48,16,3,1,0.8571428571428571
13437,1285836,17,2,1996,2,female,397.0,13,11,52,71,15,42,37,29,0.8461538461538461
13438,1129077,59,22,1954,7,female,130.0,13,10,53,5,53,5,0,0,0.7692307692307693
13439,1646887,50,31,1963,12,female,283.0,13,7,55,1,0,1,55,0,0.5384615384615384
13441,1927158,70,19,1943,3,female,1502.0,14,11,54,6,7,0,47,6,0.7857142857142857
13442,1279174,17,30,1996,11,female,357.0,13,12,55,42,52,20,3,22,0.9230769230769231
13443,1435777,42,15,1971,7,female,381.0,13,12,54,1,54,0,0,1,0.9230769230769231
13446,1913526,56,7,1957,9,female,207.0,14,7,56,14,0,3,56,11,0.5
13451,1813671,42,5,1971,11,female,109.0,13,13,56,76,56,28,0,48,1.0
13452,1195996,56,26,1957,4,female,18.0,14,12,57,84,57,69,0,15,0.8571428571428571
13455,1042478,22,27,1991,8,female,397.0,14,7,61,96,26,60,35,36,0.5
13459,1331531,60,28,1953,4,female,1100.0,13,9,64,27,0,12,64,15,0.6923076923076923
13460,1348166,69,1,1944,10,female,538.0,14,11,67,6,0,4,67,2,0.7857142857142857
13461,1236272,24,9,1989,3,female,726.0,14,6,68,30,0,15,68,15,0.42857142857142855
13464,1746895,100,20,1913,3,female,169.0,13,11,66,1,66,1,0,0,0.8461538461538461
13466,1281484,30,25,1983,8,female,246.0,14,9,71,8,40,7,31,1,0.6428571428571429
13467,1995837,58,17,1955,5,female,208.0,14,9,71,0,71,0,0,0,0.6428571428571429
13472,1156600,23,4,1990,7,female,1022.0,14,9,74,19,74,13,0,6,0.6428571428571429
13473,2091575,25,6,1988,12,female,182.0,13,5,72,29,72,29,0,0,0.38461538461538464
13475,1523587,55,26,1958,10,female,1717.0,14,5,72,35,72,28,0,7,0.35714285714285715
13476,1028913,52,11,1961,12,female,1419.0,14,7,76,123,0,2,76,121,0.5
13478,1704182,25,17,1988,4,female,418.0,13,8,79,81,2,20,77,61,0.6153846153846154
13479,1158584,16,4,1997,9,female,81.0,13,12,80,97,80,65,0,32,0.9230769230769231
13480,1275674,74,20,1939,12,female,746.0,14,7,82,48,0,17,82,31,0.5
13483,2055940,31,20,1982,10,female,420.0,14,9,84,65,84,11,0,54,0.6428571428571429
13485,1122135,52,22,1961,3,female,440.0,14,10,85,25,18,22,67,3,0.7142857142857143
13487,1620588,66,12,1947,1,female,115.0,13,8,86,12,86,5,0,7,0.6153846153846154
13488,1061674,24,18,1989,10,female,66.0,13,5,86,18,86,11,0,7,0.38461538461538464
13489,1283268,38,10,1975,11,female,237.0,13,10,89,2,0,1,89,1,0.7692307692307693
13490,1914074,24,11,1989,7,female,204.0,13,11,88,242,88,144,0,98,0.8461538461538461
13493,1348138,62,16,1951,4,female,914.0,13,6,96,39,0,26,96,13,0.46153846153846156
13494,1653421,25,28,1988,4,female,461.0,14,10,98,50,94,48,4,2,0.7142857142857143
13495,1020358,46,8,1967,2,female,415.0,14,13,96,56,86,31,10,25,0.9285714285714286
13496,1695634,20,23,1993,4,female,63.0,13,5,98,2,98,0,0,2,0.38461538461538464
13497,1443903,46,19,1967,1,female,305.0,14,12,97,5,97,4,0,1,0.8571428571428571
13498,1660845,59,29,1954,8,female,343.0,14,11,96,4,96,4,0,0,0.7857142857142857
13500,1916920,45,17,1968,10,female,78.0,13,10,97,19,97,18,0,1,0.7692307692307693
13501,1203041,31,4,1982,5,female,88.0,14,9,99,604,99,543,0,61,0.6428571428571429
13506,1285981,59,25,1954,7,female,1708.0,13,7,105,11,105,10,0,1,0.5384615384615384
13509,1828862,43,20,1970,3,female,108.0,14,8,124,3,124,3,0,0,0.5714285714285714
13512,1044466,60,15,1953,11,female,753.0,13,7,128,8,0,6,128,2,0.5384615384615384
13514,1482640,25,20,1988,11,female,167.0,14,11,127,73,49,51,78,22,0.7857142857142857
13515,1672878,19,8,1994,6,female,250.0,13,2,125,78,39,55,86,23,0.15384615384615385
13519,1704587,17,12,1996,11,female,435.0,13,7,140,15,23,2,117,13,0.5384615384615384
13521,1937808,28,14,1985,10,female,280.0,14,6,149,135,0,2,149,133,0.42857142857142855
13522,1942393,40,24,1973,11,female,187.0,13,9,146,48,146,39,0,9,0.6923076923076923
13525,2028979,33,3,1980,11,female,508.0,13,7,162,18,0,2,162,16,0.5384615384615384
13527,1975372,55,28,1958,10,female,50.0,13,7,163,88,163,74,0,14,0.5384615384615384
13528,1242850,66,27,1947,3,female,75.0,13,7,170,61,0,50,170,11,0.5384615384615384
13529,1106337,46,9,1967,12,female,22.0,13,11,166,137,117,32,49,105,0.8461538461538461
13532,1230511,18,22,1995,8,female,91.0,14,12,187,110,178,43,9,67,0.8571428571428571
13535,2142650,29,1,1984,1,female,182.0,13,11,220,1,220,1,0,0,0.8461538461538461
13537,1553748,53,5,1960,3,female,310.0,14,7,228,8,118,2,110,6,0.5
13538,1223480,19,13,1994,5,female,698.0,13,11,231,143,228,44,3,99,0.8461538461538461
13539,1710625,28,12,1985,12,female,204.0,13,12,229,21,229,17,0,4,0.9230769230769231
13540,2118228,26,16,1987,3,female,602.0,14,11,225,75,225,75,0,0,0.7857142857142857
13541,1648142,44,17,1969,8,female,271.0,14,13,251,26,251,14,0,12,0.9285714285714286
13542,1202421,24,19,1989,8,female,117.0,14,8,269,61,38,12,231,49,0.5714285714285714
13543,1422103,57,22,1956,12,female,96.0,14,11,284,11,0,6,284,5,0.7857142857142857
13544,1654984,21,19,1992,11,female,225.0,14,11,288,117,55,11,233,106,0.7857142857142857
13545,1480096,28,11,1985,5,female,54.0,14,13,320,150,148,65,172,85,0.9285714285714286
13547,1092269,33,3,1980,4,female,286.0,13,11,316,8,316,3,0,5,0.8461538461538461
13549,1127722,68,26,1945,10,female,318.0,14,10,342,36,2,3,340,33,0.7142857142857143
13550,1986492,39,15,1974,2,female,528.0,14,7,351,308,178,204,173,104,0.5
13551,1064215,21,1,1992,1,female,231.0,14,8,374,0,374,0,0,0,0.5714285714285714
13553,1037189,23,6,1990,2,female,126.0,13,9,438,143,438,44,0,99,0.6923076923076923
13558,2129046,20,30,1993,9,female,269.0,13,4,589,551,589,274,0,277,0.3076923076923077
13559,2032923,71,15,1942,9,female,964.0,13,9,679,13,0,8,679,5,0.6923076923076923
13560,1033330,20,20,1993,5,female,116.0,14,6,754,440,753,372,1,68,0.42857142857142855
13562,1361952,42,29,1971,9,female,160.0,14,2,1352,130,514,68,838,62,0.14285714285714285
13563,1455216,25,9,1988,7,female,336.0,14,6,1372,26,1372,23,0,3,0.42857142857142855
13565,2075157,26,12,1987,7,female,109.0,14,6,1914,2669,1914,1225,0,1444,0.42857142857142855
13571,2076617,14,10,1999,3,female,14.0,15,15,0,0,0,0,0,0,1.0
13578,1926389,17,28,1996,11,female,127.0,15,7,0,0,0,0,0,0,0.4666666666666667
13584,1078089,17,21,1996,2,female,492.0,15,14,0,4,0,3,0,1,0.9333333333333333
13588,1285209,19,4,1994,12,female,509.0,15,9,0,0,0,0,0,0,0.6
13591,1335885,18,1,1995,1,female,408.0,15,7,0,0,0,0,0,0,0.4666666666666667
13594,1474226,18,25,1995,7,female,175.0,15,8,0,4,0,2,0,2,0.5333333333333333
13598,2059643,19,22,1994,5,female,336.0,15,12,0,1,0,1,0,0,0.8
13601,1354802,19,30,1994,7,female,237.0,15,12,0,0,0,0,0,0,0.8
13604,1173630,20,30,1993,1,female,123.0,15,10,0,3,0,3,0,0,0.6666666666666666
13620,1385087,22,24,1991,6,female,428.0,15,10,0,0,0,0,0,0,0.6666666666666666
13621,1791609,22,9,1991,6,female,394.0,15,5,0,0,0,0,0,0,0.3333333333333333
13624,2102867,23,25,1990,3,female,652.0,15,9,0,0,0,0,0,0,0.6
13625,1404677,23,12,1990,3,female,629.0,15,4,0,1,0,1,0,0,0.26666666666666666
13629,1520341,23,4,1990,7,female,179.0,15,2,0,0,0,0,0,0,0.13333333333333333
13633,1605968,25,25,1988,12,female,49.0,15,11,0,19,0,5,0,14,0.7333333333333333
13634,1229266,24,23,1989,1,female,336.0,15,12,0,1,0,1,0,0,0.8
13637,2116608,24,5,1989,6,female,230.0,15,4,0,0,0,0,0,0,0.26666666666666666
13640,1383842,26,27,1987,12,female,314.0,15,14,0,3,0,2,0,1,0.9333333333333333
13642,1816818,25,1,1988,1,female,294.0,15,3,0,0,0,0,0,0,0.2
13645,2084671,25,1,1988,1,female,19.0,15,12,0,0,0,0,0,0,0.8
13655,1849042,26,14,1987,9,female,554.0,15,9,0,0,0,0,0,0,0.6
13658,1579148,28,25,1985,11,female,530.0,15,6,0,0,0,0,0,0,0.4
13659,1609600,28,20,1985,12,female,256.0,15,7,0,1,0,1,0,0,0.4666666666666667
13660,1657939,27,1,1986,1,female,329.0,15,14,0,0,0,0,0,0,0.9333333333333333
13663,1553599,27,20,1986,4,female,208.0,15,12,0,0,0,0,0,0,0.8
13667,1082510,28,1,1985,1,female,248.0,15,2,0,0,0,0,0,0,0.13333333333333333
13677,2174883,29,9,1984,4,female,23.0,15,14,0,5,0,5,0,0,0.9333333333333333
13679,1570478,29,8,1984,10,female,588.0,15,8,0,0,0,0,0,0,0.5333333333333333
13680,2041721,32,12,1981,11,female,205.0,15,15,0,0,0,0,0,0,1.0
13682,1530116,31,4,1982,4,female,538.0,15,11,0,3,0,2,0,1,0.7333333333333333
13688,2102780,32,5,1981,2,female,709.0,15,12,0,0,0,0,0,0,0.8
13689,1046185,32,23,1981,2,female,486.0,15,12,0,0,0,0,0,0,0.8
13691,1146715,32,4,1981,5,female,231.0,15,10,0,102,0,85,0,17,0.6666666666666666
13693,1267542,34,28,1979,11,female,341.0,15,6,0,5,0,2,0,3,0.4
13694,1134433,34,21,1979,11,female,347.0,15,8,0,0,0,0,0,0,0.5333333333333333
13699,1709201,33,6,1980,5,female,929.0,15,9,0,0,0,0,0,0,0.6
13700,1457420,33,25,1980,5,female,595.0,15,10,0,1,0,1,0,0,0.6666666666666666
13706,1679202,34,10,1979,2,female,452.0,15,12,0,0,0,0,0,0,0.8
13718,1324126,40,2,1973,6,female,333.0,15,7,0,1,0,1,0,0,0.4666666666666667
13719,1302485,40,14,1973,7,female,547.0,15,7,0,0,0,0,0,0,0.4666666666666667
13720,1798616,40,1,1973,7,female,734.0,15,9,0,0,0,0,0,0,0.6
13722,1755060,41,23,1972,1,female,766.0,15,10,0,0,0,0,0,0,0.6666666666666666
13726,2012773,42,22,1971,3,female,467.0,15,9,0,3,0,2,0,1,0.6
13733,1240731,46,7,1967,7,female,495.0,15,9,0,5,0,2,0,3,0.6
13734,1555996,48,11,1965,3,female,578.0,15,15,0,0,0,0,0,0,1.0
13737,1072464,49,20,1964,1,female,293.0,15,14,0,0,0,0,0,0,0.9333333333333333
13742,1037709,50,4,1963,3,female,433.0,15,11,0,0,0,0,0,0,0.7333333333333333
13743,1519849,51,13,1962,3,female,730.0,15,14,0,0,0,0,0,0,0.9333333333333333
13748,1895414,53,9,1960,5,female,299.0,15,12,0,0,0,0,0,0,0.8
13753,2133369,57,3,1956,9,female,2170.0,15,12,0,7,0,5,0,2,0.8
13757,1835564,58,5,1955,6,female,2225.0,15,2,0,0,0,0,0,0,0.13333333333333333
13761,1409777,59,8,1954,5,female,171.0,15,12,0,0,0,0,0,0,0.8
13762,2082155,59,9,1954,9,female,464.0,15,5,0,0,0,0,0,0,0.3333333333333333
13763,1909134,60,29,1953,9,female,565.0,15,10,0,0,0,0,0,0,0.6666666666666666
13764,1301637,62,6,1951,11,female,1233.0,15,8,0,0,0,0,0,0,0.5333333333333333
13766,1017579,63,14,1950,11,female,647.0,15,7,0,0,0,0,0,0,0.4666666666666667
13767,1991692,62,13,1951,2,female,32.0,15,13,0,0,0,0,0,0,0.8666666666666667
13772,1714390,63,14,1950,7,female,1516.0,15,5,0,0,0,0,0,0,0.3333333333333333
13774,1447154,63,13,1950,10,female,874.0,15,7,0,0,0,0,0,0,0.4666666666666667
13776,1268240,64,9,1949,5,female,1538.0,15,14,0,0,0,0,0,0,0.9333333333333333
13780,1402223,65,28,1948,9,female,313.0,15,8,0,9,0,6,0,3,0.5333333333333333
13782,1168027,66,10,1947,8,female,73.0,15,13,0,4,0,2,0,2,0.8666666666666667
13783,1671696,66,10,1947,9,female,286.0,15,9,0,0,0,0,0,0,0.6
13785,1357963,68,16,1945,1,female,1263.0,15,9,0,0,0,0,0,0,0.6
13787,1047685,68,2,1945,6,female,467.0,15,4,0,1,0,0,0,1,0.26666666666666666
13790,1045565,73,5,1940,10,female,761.0,15,11,0,0,0,0,0,0,0.7333333333333333
13792,1440117,74,21,1939,8,female,476.0,15,11,0,0,0,0,0,0,0.7333333333333333
13793,1985812,75,20,1938,6,female,745.0,15,4,0,0,0,0,0,0,0.26666666666666666
13794,1337370,78,22,1935,6,female,404.0,15,5,0,0,0,0,0,0,0.3333333333333333
13795,1999005,80,6,1933,12,female,1050.0,15,8,0,1,0,1,0,0,0.5333333333333333
13797,1468726,83,4,1930,6,female,477.0,15,11,0,0,0,0,0,0,0.7333333333333333
13798,1400251,83,19,1930,10,female,1339.0,15,0,0,0,0,0,0,0,0.0
13799,1335782,85,14,1928,1,female,1411.0,15,5,0,3,0,1,0,2,0.3333333333333333
13817,1147140,18,8,1995,2,female,329.0,15,7,1,5,0,2,1,3,0.4666666666666667
13824,1842634,56,23,1957,4,female,522.0,15,8,1,5,0,4,1,1,0.5333333333333333
13825,1007023,66,7,1947,3,female,1371.0,15,7,1,2,0,0,1,2,0.4666666666666667
13826,2026113,70,10,1943,8,female,87.0,15,3,1,3,0,3,1,0,0.2
13827,1549185,80,10,1933,10,female,1263.0,15,4,1,3,0,0,1,3,0.26666666666666666
13829,1806599,19,17,1994,2,female,134.0,15,13,1,0,1,0,0,0,0.8666666666666667
13831,1979882,20,6,1993,5,female,333.0,15,8,1,0,1,0,0,0,0.5333333333333333
13834,2073695,23,1,1990,3,female,149.0,15,15,1,0,1,0,0,0,1.0
13835,1552871,23,1,1990,7,female,124.0,15,8,1,0,1,0,0,0,0.5333333333333333
13840,2122270,26,2,1987,2,female,622.0,15,13,1,0,1,0,0,0,0.8666666666666667
13841,1984395,28,14,1985,2,female,652.0,15,2,1,0,1,0,0,0,0.13333333333333333
13845,1739761,33,6,1980,1,female,597.0,15,13,1,0,1,0,0,0,0.8666666666666667
13852,1373312,41,18,1972,11,female,159.0,15,11,1,0,1,0,0,0,0.7333333333333333
13855,1162023,46,23,1967,1,female,496.0,15,9,1,0,1,0,0,0,0.6
13856,1671537,52,10,1961,3,female,851.0,15,14,1,0,1,0,0,0,0.9333333333333333
13858,1320997,60,13,1953,7,female,1172.0,15,4,1,0,1,0,0,0,0.26666666666666666
13864,1271761,23,2,1990,1,female,468.0,15,13,1,1,1,1,0,0,0.8666666666666667
13869,1841892,37,13,1976,3,female,263.0,15,12,1,1,1,0,0,1,0.8
13873,1232327,20,28,1993,8,female,154.0,15,7,1,3,1,3,0,0,0.4666666666666667
13882,1481921,61,1,1952,5,female,684.0,15,9,1,2,1,1,0,1,0.6
13889,1989526,51,29,1962,3,female,351.0,15,4,2,0,0,0,2,0,0.26666666666666666
13890,1421742,67,25,1946,9,female,902.0,15,7,2,0,0,0,2,0,0.4666666666666667
13891,2082131,58,31,1955,5,female,725.0,15,9,2,1,0,0,2,1,0.6
13893,1057686,70,8,1943,8,female,986.0,15,12,2,1,0,0,2,1,0.8
13894,1238737,76,17,1937,8,female,821.0,15,8,2,1,0,0,2,1,0.5333333333333333
13896,1192370,73,21,1940,1,female,1091.0,15,14,2,2,0,2,2,0,0.9333333333333333
13897,1785481,18,28,1995,2,female,145.0,15,13,2,9,0,6,2,3,0.8666666666666667
13898,1097393,65,9,1948,6,female,54.0,15,5,2,15,0,8,2,7,0.3333333333333333
13900,1548417,30,13,1983,3,female,497.0,15,2,2,0,1,0,1,0,0.13333333333333333
13906,1470647,39,29,1974,5,female,396.0,15,4,2,0,2,0,0,0,0.26666666666666666
13907,1760773,41,29,1972,12,female,339.0,15,6,2,0,2,0,0,0,0.4
13909,1200170,46,2,1967,11,female,303.0,15,6,2,0,2,0,0,0,0.4
13910,1896802,52,20,1961,2,female,612.0,15,7,2,0,2,0,0,0,0.4666666666666667
13912,1904836,66,8,1947,8,female,975.0,15,8,2,0,2,0,0,0,0.5333333333333333
13913,1692678,76,13,1937,5,female,449.0,15,8,2,0,2,0,0,0,0.5333333333333333
13915,2167422,29,29,1984,3,female,70.0,15,2,2,1,2,1,0,0,0.13333333333333333
13916,1883768,32,5,1981,1,female,144.0,15,6,2,1,2,1,0,0,0.4
13918,1064962,35,27,1978,9,female,380.0,15,10,2,1,2,0,0,1,0.6666666666666666
13920,1959168,26,5,1987,7,female,443.0,15,8,2,2,2,2,0,0,0.5333333333333333
13925,1586776,22,10,1991,4,female,561.0,15,10,2,6,2,5,0,1,0.6666666666666666
13928,1933794,29,5,1984,7,female,29.0,15,14,2,4,2,3,0,1,0.9333333333333333
13933,1546708,28,29,1985,3,female,428.0,15,10,3,0,0,0,3,0,0.6666666666666666
13936,1416352,45,20,1968,9,female,144.0,15,12,3,1,0,1,3,0,0.8
13939,2097219,72,13,1941,12,female,403.0,15,10,3,4,0,0,3,4,0.6666666666666666
13941,2052053,21,21,1992,6,female,311.0,15,10,3,0,1,0,2,0,0.6666666666666666
13943,1309267,50,24,1963,2,female,146.0,15,11,3,1,2,0,1,1,0.7333333333333333
13947,1326802,22,29,1991,5,female,271.0,15,9,3,0,3,0,0,0,0.6
13950,1997958,26,1,1987,1,female,12.0,15,13,3,0,3,0,0,0,0.8666666666666667
13952,1845855,28,1,1985,3,female,383.0,15,10,3,0,3,0,0,0,0.6666666666666666
13955,1926952,55,24,1958,5,female,561.0,15,10,3,0,3,0,0,0,0.6666666666666666
13958,1109671,75,11,1938,10,female,291.0,15,6,3,1,3,1,0,0,0.4
13963,2055931,59,9,1954,2,female,411.0,15,8,3,3,3,3,0,0,0.5333333333333333
13970,1030028,17,24,1996,6,female,403.0,15,11,4,0,0,0,4,0,0.7333333333333333
13973,1265864,30,28,1983,6,female,564.0,15,7,4,1,0,1,4,0,0.4666666666666667
13976,1359676,85,9,1928,2,female,743.0,15,12,4,1,0,0,4,1,0.8
13977,1574616,72,19,1941,12,female,924.0,15,13,4,3,0,0,4,3,0.8666666666666667
13980,1512783,45,9,1968,10,female,2029.0,15,13,4,3,2,1,2,2,0.8666666666666667
13996,2189574,31,22,1982,9,female,172.0,15,10,4,3,4,3,0,0,0.6666666666666666
13997,2150967,46,14,1967,4,female,658.0,15,5,4,3,4,3,0,0,0.3333333333333333
13999,1171785,24,4,1989,4,female,18.0,15,15,4,10,4,8,0,2,1.0
14000,1461813,33,3,1980,7,female,471.0,15,4,4,8,4,6,0,2,0.26666666666666666
14003,1345176,37,1,1976,5,female,229.0,15,12,5,13,0,0,5,13,0.8
14004,1795947,30,3,1983,5,female,65.0,15,13,5,3,4,2,1,1,0.8666666666666667
14006,2092023,14,1,1999,1,female,99.0,15,10,5,0,5,0,0,0,0.6666666666666666
14012,1876211,15,24,1998,1,female,12.0,15,14,5,23,5,23,0,0,0.9333333333333333
14014,1487844,42,20,1971,5,female,238.0,15,4,5,26,5,5,0,21,0.26666666666666666
14016,1274794,51,6,1962,6,female,487.0,15,5,6,2,0,0,6,2,0.3333333333333333
14017,1779189,67,12,1946,4,female,204.0,15,12,6,3,0,2,6,1,0.8
14018,1321296,53,12,1960,4,female,169.0,15,15,6,4,0,0,6,4,1.0
14019,1344119,90,3,1923,2,female,811.0,15,6,6,14,0,1,6,13,0.4
14020,1585740,52,20,1961,9,female,776.0,15,2,6,6,2,3,4,3,0.13333333333333333
14025,2092047,100,9,1913,11,female,242.0,15,13,6,3,6,3,0,0,0.8666666666666667
14026,1432158,21,2,1992,8,female,412.0,15,5,6,4,6,3,0,1,0.3333333333333333
14031,1616431,24,1,1989,1,female,125.0,15,6,7,0,3,0,4,0,0.4
14034,1209819,61,4,1952,1,female,613.0,15,9,7,1,5,1,2,0,0.6
14037,1525350,27,2,1986,2,female,742.0,15,11,7,0,7,0,0,0,0.7333333333333333
14041,1162759,34,26,1979,2,female,126.0,15,7,7,5,7,3,0,2,0.4666666666666667
14042,1613116,19,1,1994,1,female,236.0,15,10,7,17,7,14,0,3,0.6666666666666666
14043,1966506,42,20,1971,1,female,834.0,15,8,8,0,0,0,8,0,0.5333333333333333
14048,1052705,54,14,1959,1,female,1073.0,15,6,8,2,6,1,2,1,0.4
14049,1462704,21,8,1992,11,female,88.0,15,13,8,0,8,0,0,0,0.8666666666666667
14050,1829132,55,10,1958,3,female,349.0,15,5,8,1,8,1,0,0,0.3333333333333333
14052,2020053,59,11,1954,5,female,209.0,15,9,8,21,8,8,0,13,0.6
14056,1309391,50,14,1963,6,female,107.0,15,15,9,1,9,1,0,0,1.0
14060,1289343,100,6,1913,4,female,788.0,15,9,9,14,9,10,0,4,0.6
14061,1892713,44,12,1969,5,female,283.0,15,10,10,3,10,2,0,1,0.6666666666666666
14063,1468074,51,12,1962,2,female,56.0,15,10,10,4,10,4,0,0,0.6666666666666666
14064,2053749,61,24,1952,6,female,136.0,15,14,10,2,10,1,0,1,0.9333333333333333
14066,1582261,20,6,1993,9,female,22.0,15,6,10,16,10,15,0,1,0.4
14068,2029460,22,21,1991,2,female,281.0,15,6,11,5,0,1,11,4,0.4
14069,1446835,62,9,1951,10,female,1606.0,15,4,11,7,0,2,11,5,0.26666666666666666
14071,1807946,39,1,1974,1,female,381.0,15,13,11,1,11,1,0,0,0.8666666666666667
14072,1448571,54,24,1959,7,female,202.0,15,11,11,0,11,0,0,0,0.7333333333333333
14082,1836593,43,20,1970,1,female,573.0,15,11,13,9,1,1,12,8,0.7333333333333333
14084,2030369,42,1,1971,3,female,244.0,15,11,13,2,13,1,0,1,0.7333333333333333
14086,1311349,34,3,1979,8,female,66.0,15,13,13,8,13,6,0,2,0.8666666666666667
14087,2108659,59,27,1954,6,female,102.0,15,11,13,14,13,11,0,3,0.7333333333333333
14088,1817153,60,9,1953,3,female,73.0,15,10,13,22,13,11,0,11,0.6666666666666666
14089,2047347,73,9,1940,10,female,344.0,15,15,14,9,0,4,14,5,1.0
14090,2138458,20,10,1993,4,female,617.0,15,10,14,0,14,0,0,0,0.6666666666666666
14093,1535528,25,12,1988,12,female,5.0,15,15,14,20,14,19,0,1,1.0
14094,1474619,19,1,1994,6,female,261.0,15,4,14,75,14,29,0,46,0.26666666666666666
14096,1348393,47,24,1966,3,female,63.0,15,9,14,21,14,15,0,6,0.6
14101,1462702,17,18,1996,8,female,214.0,15,10,16,0,0,0,16,0,0.6666666666666666
14102,1309104,61,25,1952,3,female,462.0,15,6,16,22,0,14,16,8,0.4
14104,1062965,68,31,1945,8,female,86.0,15,12,16,2,16,0,0,2,0.8
14106,1346371,69,3,1944,3,female,1381.0,15,4,17,2,0,1,17,1,0.26666666666666666
14109,1910703,27,11,1986,9,female,106.0,15,5,17,40,17,11,0,29,0.3333333333333333
14113,1243670,24,23,1989,3,female,459.0,15,8,18,11,18,7,0,4,0.5333333333333333
14114,2124207,42,31,1971,7,female,383.0,15,3,19,0,2,0,17,0,0.2
14116,1337871,30,1,1983,5,female,25.0,15,12,19,37,19,35,0,2,0.8
14120,1949347,71,3,1942,5,female,1470.0,15,9,21,3,0,2,21,1,0.6
14122,2156718,39,24,1974,9,female,282.0,15,7,22,3,0,1,22,2,0.4666666666666667
14123,1108702,67,28,1946,4,female,851.0,15,1,22,1,0,1,22,0,0.06666666666666667
14124,2187500,35,28,1978,11,female,621.0,15,9,22,6,0,0,22,6,0.6
14125,1354409,50,20,1963,2,female,211.0,15,10,22,5,1,3,21,2,0.6666666666666666
14127,1155057,25,21,1988,9,female,15.0,15,7,22,20,22,20,0,0,0.4666666666666667
14128,1937634,40,25,1973,12,female,197.0,15,8,22,23,22,19,0,4,0.5333333333333333
14129,2066659,22,4,1991,4,female,493.0,15,12,23,26,0,13,23,13,0.8
14133,1220163,24,31,1989,1,female,16.0,15,12,24,22,16,2,8,20,0.8
14138,1069706,40,13,1973,6,female,596.0,15,8,26,29,26,11,0,18,0.5333333333333333
14139,1914364,61,1,1952,11,female,96.0,15,8,27,8,3,3,24,5,0.5333333333333333
14140,1769809,18,10,1995,9,female,41.0,15,9,27,3,27,3,0,0,0.6
14141,1430802,23,20,1990,4,female,523.0,15,10,27,1,27,0,0,1,0.6666666666666666
14146,2038634,33,29,1980,6,female,777.0,15,11,29,3,29,3,0,0,0.7333333333333333
14149,1940798,52,12,1961,5,female,514.0,15,7,31,6,31,1,0,5,0.4666666666666667
14151,1721885,42,8,1971,4,female,523.0,15,8,32,4,27,3,5,1,0.5333333333333333
14152,1275782,20,16,1993,10,female,209.0,15,13,32,24,30,7,2,17,0.8666666666666667
14153,1042257,34,16,1979,5,female,80.0,15,14,32,5,32,0,0,5,0.9333333333333333
14159,1544315,20,2,1993,9,female,249.0,15,13,37,33,37,18,0,15,0.8666666666666667
14163,1394771,25,13,1988,1,female,196.0,15,7,39,16,39,10,0,6,0.4666666666666667
14164,2023269,46,12,1967,7,female,241.0,15,11,38,48,38,36,0,12,0.7333333333333333
14167,1889837,44,23,1969,4,female,130.0,15,10,40,9,40,2,0,7,0.6666666666666666
14168,2026878,22,8,1991,12,female,84.0,15,10,42,29,28,11,14,18,0.6666666666666666
14169,1218562,15,7,1998,10,female,49.0,15,10,42,1,42,1,0,0,0.6666666666666666
